"portal","url","source","http_status","status_class","category","body_len","php_error","is_blank","final_url","notes"
"register","https://register.olasentra.com/api/roster-check.php","api:roster-check.php","200","ok","ok","310","False","False","https://register.olasentra.com/api/roster-check.php",""
"register","https://register.olasentra.com/api/signin-location-verify.php","api:signin-location-verify.php","405","ok","method_not_allowed","0","False","False","","The remote server returned an error: (405) Method Not Allowed."
"register","https://register.olasentra.com/api/staff-offline-sync.php","api:staff-offline-sync.php","405","ok","method_not_allowed","0","False","False","","The remote server returned an error: (405) Method Not Allowed."
"register","https://register.olasentra.com/api/staff-portal-otp-send.php","api:staff-portal-otp-send.php","405","ok","method_not_allowed","0","False","False","","The remote server returned an error: (405) Method Not Allowed."
"register","https://register.olasentra.com/api/staff-portal-otp-verify.php","api:staff-portal-otp-verify.php","405","ok","method_not_allowed","0","False","False","","The remote server returned an error: (405) Method Not Allowed."
"register","https://register.olasentra.com/api/staff-shift-gps.php","api:staff-shift-gps.php","405","ok","method_not_allowed","0","False","False","","The remote server returned an error: (405) Method Not Allowed."
"register","https://register.olasentra.com/api/mobile/v1/config","api:mobile-v1-config","200","ok","ok","3418","False","False","https://register.olasentra.com/api/mobile/v1/config",""
"admin","https://admin.olasentra.com/api/mobile/v1/config","api:mobile-v1-config-admin","200","ok","ok","3418","False","False","https://admin.olasentra.com/api/mobile/v1/config",""
"register","https://register.olasentra.com/sw.js","static:sw.js","200","ok","ok","4466","False","False","https://register.olasentra.com/sw.js",""
"marketing","https://olasentra.com/sw.js","static:sw.js","200","ok","ok","4466","False","False","https://olasentra.com/sw.js",""
