"method","path","code","status","body","notes"
"GET","config","200","PASS","{""ok"":true,""api_version"":""1"",""min_app_version"":""1.0.0"",""mobile_api_enabled"":true,""google_signin_enabled"":true,""google_signin_required"":true,""pps_signin_enabled"":false,""email_otp_enabled"":true,""gps_att","Route exists"
"POST","auth/otp/send","404","FAIL","","Route missing"
"POST","auth/otp/verify","401","PASS","","Route exists"
"POST","auth/google","401","PASS","","Route exists"
"POST","auth/refresh","401","PASS","","Route exists"
"POST","auth/logout","200","PASS","{""ok"":true,""message"":""Signed out.""}","OK"
"GET","me","401","PASS","","Route exists"
"GET","dashboard","401","PASS","","Route exists"
"POST","me/password","401","PASS","","Route exists"
